year,geography,population,grouping
2010,Auburn RGC,1360,All
2010,Ballard-Interbay MIC,1259,All
2010,Bellevue RGC,6823,All
2010,Bothell Canyon Park RGC,853,All
2010,Bremerton RGC,5562,All
2010,Burien RGC,3043,All
2010,Cascade MIC,1452,All
2010,Duwamish MIC,1531,All
2010,Everett RGC,6231,All
2010,Federal Way RGC,112,All
2010,Frederickson MIC,2213,All
2010,Issaquah RGC,79,All
2010,Kent MIC MIC,997,All
2010,Kent RGC,1481,All
2010,Kirkland Totem Lake RGC,5182,All
2010,Lakewood RGC,885,All
2010,Lynnwood RGC,2384,All
2010,North Tukwila MIC,234,All
2010,Paine Field / Boeing Everett MIC,2016,All
2010,Port of Tacoma MIC,1299,All
2010,Puget Sound Industrial Center- Bremerton MIC,119,All
2010,Puyallup Downtown RGC,1300,All
2010,Puyallup South Hill RGC,2839,All
2010,Redmond Downtown RGC,3319,All
2010,Redmond-Overlake RGC,1745,All
2010,Renton RGC,3141,All
2010,SeaTac RGC,8660,All
2010,Seattle Downtown RGC,26830,All
2010,Seattle First Hill/Capitol Hill RGC,35743,All
2010,Seattle Northgate RGC,5481,All
2010,Seattle South Lake Union RGC,3749,All
2010,Seattle University Community RGC,22674,All
2010,Seattle Uptown RGC,6878,All
2010,Silverdale RGC,2058,All
2010,Sumner Pacific MIC,308,All
2010,Tacoma Downtown RGC,12926,All
2010,Tacoma Mall RGC,4046,All
2010,Tukwila RGC,9,All
2010,University Place RGC,4372,All
2011,Auburn RGC,1361,All
2011,Ballard-Interbay MIC,1260,All
2011,Bellevue RGC,7780,All
2011,Bothell Canyon Park RGC,870,All
2011,Bremerton RGC,6533,All
2011,Burien RGC,3007,All
2011,Cascade MIC,1452,All
2011,Duwamish MIC,1527,All
2011,Everett RGC,6254,All
2011,Federal Way RGC,112,All
2011,Frederickson MIC,2298,All
2011,Issaquah RGC,84,All
2011,Kent MIC MIC,981,All
2011,Kent RGC,1561,All
2011,Kirkland Totem Lake RGC,5183,All
2011,Lakewood RGC,885,All
2011,Lynnwood RGC,2387,All
2011,North Tukwila MIC,235,All
2011,Paine Field / Boeing Everett MIC,1992,All
2011,Port of Tacoma MIC,1299,All
2011,Puget Sound Industrial Center- Bremerton MIC,119,All
2011,Puyallup Downtown RGC,1297,All
2011,Puyallup South Hill RGC,2839,All
2011,Redmond Downtown RGC,3820,All
2011,Redmond-Overlake RGC,1747,All
2011,Renton RGC,4082,All
