year,geography,population,grouping
2014,Mill Creek,18810,All
2015,Mill Creek,19966,All
2016,Mill Creek,20171,All
2017,Mill Creek,20238,All
2018,Mill Creek,20723,All
2019,Mill Creek,20898,All
2020,Mill Creek,20926,All
2021,Mill Creek,20930,All
2022,Mill Creek,21510,All
1990,Milton,4995,All
1991,Milton,4977,All
1992,Milton,5087,All
1993,Milton,5207,All
1994,Milton,5231,All
1995,Milton,5221,All
1996,Milton,5235,All
1997,Milton,5343,All
1998,Milton,5404,All
1999,Milton,5624,All
2000,Milton,5795,All
2001,Milton,5859,All
2002,Milton,6091,All
2003,Milton,6127,All
2004,Milton,6160,All
2005,Milton,6263,All
2006,Milton,6758,All
2007,Milton,6828,All
2008,Milton,6882,All
2009,Milton,6923,All
2010,Milton,6968,All
2011,Milton,7009,All
2012,Milton,7046,All
2013,Milton,7326,All
2014,Milton,7492,All
2015,Milton,7705,All
2016,Milton,8029,All
2017,Milton,8258,All
2018,Milton,8286,All
2019,Milton,8348,All
2020,Milton,8697,All
2021,Milton,8695,All
2022,Milton,8695,All
1990,Monroe,4275,All
1991,Monroe,5044,All
1992,Monroe,5282,All
1993,Monroe,5541,All
1994,Monroe,6095,All
1995,Monroe,6782,All
1996,Monroe,7270,All
1997,Monroe,9758,All
1998,Monroe,11714,All
1999,Monroe,12601,All
2000,Monroe,13795,All
2001,Monroe,14367,All
2002,Monroe,14779,All
2003,Monroe,15303,All
2004,Monroe,15688,All
2005,Monroe,16190,All
2006,Monroe,16526,All
2007,Monroe,16701,All
2008,Monroe,17038,All
2009,Monroe,17272,All
2010,Monroe,17304,All
2011,Monroe,17321,All
2012,Monroe,17376,All
2013,Monroe,17486,All
2014,Monroe,17627,All
2015,Monroe,17586,All
2016,Monroe,18082,All
2017,Monroe,18303,All
2018,Monroe,18781,All
2019,Monroe,19144,All
2020,Monroe,19699,All
2021,Monroe,19900,All
2022,Monroe,19700,All
1990,Mountlake Terrace,19320,All
1991,Mountlake Terrace,19729,All
1992,Mountlake Terrace,19811,All
1993,Mountlake Terrace,19863,All
1994,Mountlake Terrace,19905,All
1995,Mountlake Terrace,20021,All
1996,Mountlake Terrace,20042,All
1997,Mountlake Terrace,20138,All
1998,Mountlake Terrace,20236,All
1999,Mountlake Terrace,20313,All
2000,Mountlake Terrace,20362,All
2001,Mountlake Terrace,20249,All
2002,Mountlake Terrace,20186,All
2003,Mountlake Terrace,20025,All
2004,Mountlake Terrace,19973,All
2005,Mountlake Terrace,19870,All
2006,Mountlake Terrace,19757,All
2007,Mountlake Terrace,20082,All
2008,Mountlake Terrace,20084,All
2009,Mountlake Terrace,20009,All
2010,Mountlake Terrace,19909,All
2011,Mountlake Terrace,19943,All
2012,Mountlake Terrace,19991,All
2013,Mountlake Terrace,20006,All
2014,Mountlake Terrace,20390,All
2015,Mountlake Terrace,20950,All
2016,Mountlake Terrace,20908,All
2017,Mountlake Terrace,21116,All
2018,Mountlake Terrace,21235,All
2019,Mountlake Terrace,21242,All
2020,Mountlake Terrace,21286,All
2021,Mountlake Terrace,21980,All
2022,Mountlake Terrace,22070,All
1990,Mukilteo,6982,All
1991,Mukilteo,13118,All
1992,Mukilteo,13429,All
1993,Mukilteo,14344,All
1994,Mukilteo,14754,All
1995,Mukilteo,15230,All
1996,Mukilteo,15770,All
1997,Mukilteo,16158,All
1998,Mukilteo,17195,All
1999,Mukilteo,17644,All
2000,Mukilteo,18019,All
2001,Mukilteo,18373,All
2002,Mukilteo,18578,All
2003,Mukilteo,19304,All
2004,Mukilteo,19319,All
2005,Mukilteo,19453,All
2006,Mukilteo,19702,All
2007,Mukilteo,20049,All
2008,Mukilteo,20161,All
2009,Mukilteo,20210,All
2010,Mukilteo,20254,All
2011,Mukilteo,20310,All
2012,Mukilteo,20367,All
2013,Mukilteo,20445,All
2014,Mukilteo,20547,All
2015,Mukilteo,20979,All
2016,Mukilteo,21191,All
2017,Mukilteo,21398,All
2018,Mukilteo,21465,All
2019,Mukilteo,21536,All
2020,Mukilteo,21538,All
2021,Mukilteo,21560,All
2022,Mukilteo,21590,All
1990,Newcastle,NA,All
1991,Newcastle,NA,All
1992,Newcastle,NA,All
1993,Newcastle,NA,All
1994,Newcastle,NA,All
1995,Newcastle,7145,All
1996,Newcastle,7303,All
1997,Newcastle,7511,All
1998,Newcastle,7643,All
1999,Newcastle,7635,All
2000,Newcastle,7737,All
2001,Newcastle,7830,All
2002,Newcastle,8263,All
2003,Newcastle,8489,All
2004,Newcastle,8739,All
2005,Newcastle,9090,All
2006,Newcastle,9403,All
2007,Newcastle,9785,All
2008,Newcastle,10018,All
2009,Newcastle,10343,All
2010,Newcastle,10380,All
2011,Newcastle,10365,All
2012,Newcastle,10374,All
2013,Newcastle,10553,All
2014,Newcastle,10738,All
2015,Newcastle,10783,All
2016,Newcastle,10884,All
2017,Newcastle,11084,All
2018,Newcastle,12552,All
2019,Newcastle,12559,All
2020,Newcastle,13017,All
2021,Newcastle,13310,All
2022,Newcastle,13560,All
1990,Normandy Park,6709,All
1991,Normandy Park,6672,All
1992,Normandy Park,6658,All
1993,Normandy Park,6621,All
1994,Normandy Park,6582,All
1995,Normandy Park,6542,All
1996,Normandy Park,6554,All
1997,Normandy Park,6517,All
1998,Normandy Park,6477,All
1999,Normandy Park,6434,All
2000,Normandy Park,6392,All
2001,Normandy Park,6376,All
2002,Normandy Park,6358,All
2003,Normandy Park,6260,All
2004,Normandy Park,6383,All
2005,Normandy Park,6336,All
2006,Normandy Park,6347,All
2007,Normandy Park,6338,All
2008,Normandy Park,6298,All
2009,Normandy Park,6314,All
2010,Normandy Park,6335,All
2011,Normandy Park,6361,All
2012,Normandy Park,6380,All
2013,Normandy Park,6401,All
2014,Normandy Park,6439,All
2015,Normandy Park,6500,All
2016,Normandy Park,6634,All
2017,Normandy Park,6695,All
2018,Normandy Park,6717,All
2019,Normandy Park,6746,All
2020,Normandy Park,6771,All
2021,Normandy Park,6785,All
2022,Normandy Park,6790,All
1990,North Bend,2578,All
1991,North Bend,2606,All
1992,North Bend,2643,All
1993,North Bend,2677,All
1994,North Bend,2944,All
1995,North Bend,3157,All
1996,North Bend,3345,All
1997,North Bend,3665,All
1998,North Bend,4230,All
1999,North Bend,4611,All
2000,North Bend,4746,All
2001,North Bend,4759,All
2002,North Bend,4757,All
2003,North Bend,4677,All
2004,North Bend,4668,All
2005,North Bend,4698,All
2006,North Bend,4718,All
2007,North Bend,4734,All
2008,North Bend,4737,All
2009,North Bend,4806,All
2010,North Bend,5731,All
2011,North Bend,5841,All
2012,North Bend,5876,All
2013,North Bend,6041,All
2014,North Bend,6294,All
2015,North Bend,6464,All
2016,North Bend,6573,All
2017,North Bend,6624,All
2018,North Bend,6829,All
2019,North Bend,6971,All
2020,North Bend,7461,All
2021,North Bend,7685,All
2022,North Bend,7915,All
1990,Orting,2106,All
1991,Orting,2245,All
1992,Orting,2245,All
1993,Orting,2235,All
1994,Orting,2269,All
1995,Orting,2502,All
1996,Orting,2940,All
1997,Orting,3304,All
1998,Orting,3493,All
1999,Orting,3742,All
2000,Orting,3931,All
2001,Orting,4024,All
2002,Orting,4136,All
2003,Orting,4395,All
2004,Orting,4614,All
2005,Orting,5037,All
2006,Orting,5849,All
2007,Orting,6282,All
2008,Orting,6460,All
2009,Orting,6582,All
2010,Orting,6746,All
2011,Orting,6812,All
2012,Orting,6877,All
2013,Orting,7058,All
2014,Orting,7235,All
2015,Orting,7501,All
2016,Orting,7785,All
2017,Orting,8126,All
2018,Orting,8415,All
2019,Orting,8735,All
2020,Orting,9041,All
2021,Orting,9010,All
2022,Orting,9055,All
1990,Pacific,NA,All
1991,Pacific,NA,All
1992,Pacific,NA,All
1993,Pacific,NA,All
1994,Pacific,NA,All
1995,Pacific,NA,All
1996,Pacific,5437,All
1997,Pacific,5479,All
1998,Pacific,5505,All
1999,Pacific,5536,All
2000,Pacific,5527,All
2001,Pacific,5557,All
2002,Pacific,5627,All
2003,Pacific,5778,All
2004,Pacific,5820,All
2005,Pacific,5925,All
2006,Pacific,6133,All
2007,Pacific,6272,All
2008,Pacific,6462,All
2009,Pacific,6560,All
2010,Pacific,6606,All
2011,Pacific,6640,All
2012,Pacific,6690,All
2013,Pacific,6856,All
2014,Pacific,6956,All
2015,Pacific,6999,All
2016,Pacific,7080,All
2017,Pacific,7135,All
2018,Pacific,7170,All
2019,Pacific,7193,All
2020,Pacific,7235,All
2021,Pacific,7255,All
2022,Pacific,7270,All
1990,Port Orchard,4984,All
1991,Port Orchard,5109,All
1992,Port Orchard,5292,All
1993,Port Orchard,5678,All
1994,Port Orchard,5775,All
1995,Port Orchard,6290,All
1996,Port Orchard,6638,All
1997,Port Orchard,6962,All
1998,Port Orchard,7094,All
1999,Port Orchard,7448,All
2000,Port Orchard,7693,All
2001,Port Orchard,7827,All
2002,Port Orchard,7962,All
2003,Port Orchard,7980,All
2004,Port Orchard,8161,All
2005,Port Orchard,8403,All
2006,Port Orchard,8513,All
2007,Port Orchard,8613,All
2008,Port Orchard,8731,All
2009,Port Orchard,8794,All
2010,Port Orchard,11157,All
2011,Port Orchard,11486,All
2012,Port Orchard,11880,All
2013,Port Orchard,13020,All
2014,Port Orchard,13404,All
2015,Port Orchard,13875,All
2016,Port Orchard,14240,All
2017,Port Orchard,14497,All
2018,Port Orchard,14746,All
2019,Port Orchard,15064,All
2020,Port Orchard,15587,All
2021,Port Orchard,15960,All
2022,Port Orchard,16400,All
1990,Poulsbo,4848,All
1991,Poulsbo,5212,All
1992,Poulsbo,5306,All
1993,Poulsbo,5386,All
1994,Poulsbo,5494,All
1995,Poulsbo,5913,All
1996,Poulsbo,6188,All
1997,Poulsbo,6301,All
1998,Poulsbo,6637,All
1999,Poulsbo,6663,All
2000,Poulsbo,6813,All
2001,Poulsbo,6988,All
2002,Poulsbo,7081,All
2003,Poulsbo,7129,All
2004,Poulsbo,7357,All
2005,Poulsbo,7657,All
2006,Poulsbo,7722,All
2007,Poulsbo,7823,All
2008,Poulsbo,8110,All
2009,Poulsbo,9106,All
2010,Poulsbo,9200,All
2011,Poulsbo,9287,All
2012,Poulsbo,9430,All
2013,Poulsbo,9678,All
2014,Poulsbo,9899,All
2015,Poulsbo,10090,All
2016,Poulsbo,10380,All
2017,Poulsbo,10717,All
2018,Poulsbo,11086,All
2019,Poulsbo,11501,All
2020,Poulsbo,11975,All
2021,Poulsbo,12000,All
2022,Poulsbo,12180,All
1990,Puyallup,23878,All
1991,Puyallup,24800,All
1992,Puyallup,25987,All
1993,Puyallup,26712,All
1994,Puyallup,27574,All
1995,Puyallup,28202,All
1996,Puyallup,30049,All
1997,Puyallup,31021,All
1998,Puyallup,31359,All
1999,Puyallup,32663,All
2000,Puyallup,33014,All
2001,Puyallup,33596,All
2002,Puyallup,34614,All
2003,Puyallup,35261,All
2004,Puyallup,35293,All
2005,Puyallup,35205,All
2006,Puyallup,35601,All
2007,Puyallup,35862,All
2008,Puyallup,35782,All
2009,Puyallup,37060,All
2010,Puyallup,37022,All
2011,Puyallup,37295,All
2012,Puyallup,37783,All
2013,Puyallup,38218,All
2014,Puyallup,38947,All
2015,Puyallup,39250,All
2016,Puyallup,40322,All
2017,Puyallup,41009,All
2018,Puyallup,41326,All
2019,Puyallup,41759,All
2020,Puyallup,42973,All
2021,Puyallup,43060,All
2022,Puyallup,43260,All
1990,Redmond,35800,All
1991,Redmond,38363,All
1992,Redmond,38639,All
1993,Redmond,39515,All
1994,Redmond,39732,All
1995,Redmond,40211,All
1996,Redmond,40894,All
1997,Redmond,42163,All
1998,Redmond,43277,All
1999,Redmond,44727,All
2000,Redmond,45256,All
2001,Redmond,45397,All
2002,Redmond,45996,All
2003,Redmond,46569,All
2004,Redmond,47106,All
2005,Redmond,47626,All
2006,Redmond,50243,All
2007,Redmond,50898,All
2008,Redmond,51592,All
2009,Redmond,51985,All
2010,Redmond,54144,All
2011,Redmond,55488,All
2012,Redmond,55987,All
2013,Redmond,56653,All
2014,Redmond,58916,All
2015,Redmond,60782,All
2016,Redmond,62430,All
2017,Redmond,63951,All
2018,Redmond,66212,All
2019,Redmond,68001,All
2020,Redmond,73256,All
2021,Redmond,73910,All
2022,Redmond,75270,All
1990,Renton,41688,All
1991,Renton,43463,All
1992,Renton,43645,All
1993,Renton,44051,All
1994,Renton,44538,All
1995,Renton,45390,All
1996,Renton,45677,All
1997,Renton,46328,All
1998,Renton,46972,All
1999,Renton,48846,All
2000,Renton,50052,All
2001,Renton,51764,All
2002,Renton,55038,All
2003,Renton,56407,All
2004,Renton,57345,All
2005,Renton,59259,All
2006,Renton,61350,All
2007,Renton,63785,All
2008,Renton,82384,All
2009,Renton,87668,All
2010,Renton,90927,All
2011,Renton,93179,All
2012,Renton,94699,All
2013,Renton,96508,All
2014,Renton,98336,All
2015,Renton,99752,All
2016,Renton,103103,All
2017,Renton,104054,All
2018,Renton,104829,All
2019,Renton,105702,All
2020,Renton,106785,All
2021,Renton,107100,All
2022,Renton,107500,All
1990,Roy,258,All
1991,Roy,337,All
1992,Roy,279,All
1993,Roy,280,All
1994,Roy,340,All
1995,Roy,291,All
1996,Roy,362,All
1997,Roy,282,All
1998,Roy,276,All
1999,Roy,268,All
2000,Roy,260,All
2001,Roy,367,All
2002,Roy,733,All
2003,Roy,758,All
2004,Roy,752,All
2005,Roy,770,All
2006,Roy,787,All
2007,Roy,797,All
2008,Roy,791,All
2009,Roy,796,All
2010,Roy,793,All
2011,Roy,796,All
2012,Roy,804,All
2013,Roy,804,All
2014,Roy,804,All
2015,Roy,804,All
2016,Roy,806,All
2017,Roy,814,All
2018,Roy,814,All
2019,Roy,816,All
2020,Roy,816,All
2021,Roy,815,All
2022,Roy,815,All
1990,Ruston,693,All
1991,Ruston,690,All
1992,Ruston,695,All
1993,Ruston,693,All
1994,Ruston,690,All
1995,Ruston,704,All
1996,Ruston,721,All
1997,Ruston,720,All
1998,Ruston,722,All
1999,Ruston,719,All
2000,Ruston,738,All
2001,Ruston,740,All
2002,Ruston,738,All
2003,Ruston,742,All
2004,Ruston,737,All
2005,Ruston,739,All
2006,Ruston,732,All
2007,Ruston,741,All
2008,Ruston,743,All
2009,Ruston,751,All
2010,Ruston,749,All
2011,Ruston,752,All
2012,Ruston,759,All
2013,Ruston,811,All
2014,Ruston,851,All
2015,Ruston,927,All
2016,Ruston,965,All
2017,Ruston,1002,All
2018,Ruston,1000,All
2019,Ruston,1007,All
2020,Ruston,1055,All
2021,Ruston,1060,All
2022,Ruston,1060,All
1990,Sammamish,NA,All
1991,Sammamish,NA,All
1992,Sammamish,NA,All
1993,Sammamish,NA,All
1994,Sammamish,NA,All
1995,Sammamish,NA,All
1996,Sammamish,NA,All
1997,Sammamish,NA,All
1998,Sammamish,NA,All
1999,Sammamish,NA,All
2000,Sammamish,34104,All
2001,Sammamish,34915,All
2002,Sammamish,35862,All
2003,Sammamish,37161,All
2004,Sammamish,38359,All
2005,Sammamish,40957,All
2006,Sammamish,42654,All
2007,Sammamish,43676,All
2008,Sammamish,44455,All
2009,Sammamish,45039,All
2010,Sammamish,45780,All
2011,Sammamish,46962,All
2012,Sammamish,47575,All
2013,Sammamish,48319,All
2014,Sammamish,49628,All
2015,Sammamish,50509,All
2016,Sammamish,62919,All
2017,Sammamish,63796,All
2018,Sammamish,65325,All
2019,Sammamish,66567,All
2020,Sammamish,67455,All
2021,Sammamish,67940,All
2022,Sammamish,68150,All
1990,SeaTac,22701,All
1991,SeaTac,22877,All
1992,SeaTac,23122,All
1993,SeaTac,23316,All
1994,SeaTac,23509,All
1995,SeaTac,23728,All
1996,SeaTac,23937,All
1997,SeaTac,24123,All
1998,SeaTac,24768,All
1999,SeaTac,25259,All
2000,SeaTac,25496,All
2001,SeaTac,25537,All
2002,SeaTac,25514,All
2003,SeaTac,25444,All
2004,SeaTac,25558,All
2005,SeaTac,25714,All
2006,SeaTac,25930,All
2007,SeaTac,26329,All
2008,SeaTac,26654,All
2009,SeaTac,26643,All
2010,SeaTac,26909,All
2011,SeaTac,27355,All
2012,SeaTac,27720,All
2013,SeaTac,28062,All
2014,SeaTac,28630,All
2015,SeaTac,28916,All
2016,SeaTac,29324,All
2017,SeaTac,30352,All
2018,SeaTac,30901,All
2019,SeaTac,31206,All
2020,SeaTac,31454,All
2021,SeaTac,32000,All
2022,SeaTac,31910,All
1990,Seattle,516259,All
1991,Seattle,522335,All
1992,Seattle,528938,All
1993,Seattle,533960,All
1994,Seattle,539145,All
1995,Seattle,541509,All
1996,Seattle,544140,All
1997,Seattle,546885,All
1998,Seattle,552511,All
1999,Seattle,556573,All
2000,Seattle,563376,All
2001,Seattle,565228,All
2002,Seattle,568908,All
2003,Seattle,572472,All
2004,Seattle,572595,All
2005,Seattle,572587,All
2006,Seattle,577921,All
2007,Seattle,585436,All
2008,Seattle,591870,All
2009,Seattle,598539,All
2010,Seattle,608660,All
2011,Seattle,611249,All
2012,Seattle,614283,All
2013,Seattle,624045,All
2014,Seattle,638784,All
2015,Seattle,660908,All
2016,Seattle,684136,All
2017,Seattle,694513,All
2018,Seattle,707555,All
2019,Seattle,724144,All
2020,Seattle,737015,All
2021,Seattle,742400,All
2022,Seattle,762500,All
1990,Shoreline,NA,All
1991,Shoreline,NA,All
1992,Shoreline,NA,All
1993,Shoreline,NA,All
1994,Shoreline,NA,All
1995,Shoreline,NA,All
1996,Shoreline,45927,All
1997,Shoreline,47869,All
1998,Shoreline,48136,All
1999,Shoreline,50252,All
2000,Shoreline,53296,All
2001,Shoreline,53164,All
2002,Shoreline,53000,All
2003,Shoreline,52451,All
2004,Shoreline,52308,All
2005,Shoreline,51893,All
2006,Shoreline,51695,All
2007,Shoreline,51963,All
2008,Shoreline,52065,All
2009,Shoreline,52886,All
2010,Shoreline,53007,All
2011,Shoreline,53390,All
2012,Shoreline,53584,All
2013,Shoreline,54175,All
2014,Shoreline,54728,All
2015,Shoreline,55353,All
2016,Shoreline,55960,All
2017,Shoreline,56201,All
2018,Shoreline,56820,All
2019,Shoreline,57762,All
2020,Shoreline,58608,All
2021,Shoreline,59260,All
2022,Shoreline,60320,All
1990,Skykomish,273,All
1991,Skykomish,251,All
1992,Skykomish,251,All
1993,Skykomish,250,All
1994,Skykomish,233,All
1995,Skykomish,215,All
1996,Skykomish,231,All
1997,Skykomish,190,All
1998,Skykomish,192,All
1999,Skykomish,215,All
2000,Skykomish,214,All
2001,Skykomish,212,All
2002,Skykomish,208,All
2003,Skykomish,204,All
2004,Skykomish,199,All
2005,Skykomish,197,All
2006,Skykomish,193,All
2007,Skykomish,193,All
2008,Skykomish,189,All
2009,Skykomish,185,All
2010,Skykomish,198,All
2011,Skykomish,192,All
2012,Skykomish,188,All
2013,Skykomish,182,All
2014,Skykomish,181,All
2015,Skykomish,171,All
2016,Skykomish,171,All
2017,Skykomish,168,All
2018,Skykomish,170,All
2019,Skykomish,166,All
2020,Skykomish,161,All
2021,Skykomish,160,All
2022,Skykomish,165,All
1990,Snohomish,6499,All
1991,Snohomish,6601,All
1992,Snohomish,6697,All
1993,Snohomish,6988,All
1994,Snohomish,7352,All
1995,Snohomish,7609,All
1996,Snohomish,7943,All
1997,Snohomish,8016,All
1998,Snohomish,8326,All
1999,Snohomish,8376,All
2000,Snohomish,8494,All
2001,Snohomish,8554,All
2002,Snohomish,8543,All
2003,Snohomish,8588,All
2004,Snohomish,8503,All
2005,Snohomish,8623,All
2006,Snohomish,8812,All
2007,Snohomish,8829,All
2008,Snohomish,8841,All
2009,Snohomish,8926,All
2010,Snohomish,9098,All
2011,Snohomish,9198,All
2012,Snohomish,9202,All
2013,Snohomish,9208,All
2014,Snohomish,9252,All
2015,Snohomish,9375,All
2016,Snohomish,9595,All
2017,Snohomish,9951,All
2018,Snohomish,10046,All
2019,Snohomish,10086,All
2020,Snohomish,10126,All
2021,Snohomish,10160,All
2022,Snohomish,10200,All
1990,Snoqualmie,1546,All
1991,Snoqualmie,1550,All
1992,Snoqualmie,1554,All
1993,Snoqualmie,1557,All
1994,Snoqualmie,1561,All
1995,Snoqualmie,1565,All
1996,Snoqualmie,1571,All
1997,Snoqualmie,1575,All
1998,Snoqualmie,1581,All
1999,Snoqualmie,1602,All
2000,Snoqualmie,1631,All
2001,Snoqualmie,3416,All
2002,Snoqualmie,4407,All
2003,Snoqualmie,5063,All
2004,Snoqualmie,5503,All
2005,Snoqualmie,6933,All
2006,Snoqualmie,7815,All
2007,Snoqualmie,8862,All
2008,Snoqualmie,9788,All
2009,Snoqualmie,10337,All
2010,Snoqualmie,10670,All
2011,Snoqualmie,10978,All
2012,Snoqualmie,11369,All
2013,Snoqualmie,11787,All
2014,Snoqualmie,12238,All
2015,Snoqualmie,13067,All
2016,Snoqualmie,13398,All
2017,Snoqualmie,13535,All
2018,Snoqualmie,13817,All
2019,Snoqualmie,14075,All
2020,Snoqualmie,14121,All
2021,Snoqualmie,14490,All
2022,Snoqualmie,14490,All
1990,South Prairie,245,All
1991,South Prairie,208,All
1992,South Prairie,343,All
1993,South Prairie,328,All
1994,South Prairie,445,All
1995,South Prairie,533,All
1996,South Prairie,345,All
1997,South Prairie,358,All
1998,South Prairie,362,All
1999,South Prairie,372,All
2000,South Prairie,382,All
2001,South Prairie,430,All
2002,South Prairie,454,All
2003,South Prairie,453,All
2004,South Prairie,446,All
2005,South Prairie,448,All
2006,South Prairie,447,All
2007,South Prairie,442,All
2008,South Prairie,441,All
2009,South Prairie,436,All
2010,South Prairie,434,All
2011,South Prairie,423,All
2012,South Prairie,412,All
2013,South Prairie,401,All
2014,South Prairie,390,All
2015,South Prairie,379,All
2016,South Prairie,368,All
2017,South Prairie,357,All
2018,South Prairie,348,All
2019,South Prairie,386,All
2020,South Prairie,373,All
2021,South Prairie,375,All
2022,South Prairie,620,All
1990,Stanwood,1961,All
1991,Stanwood,2096,All
1992,Stanwood,2198,All
1993,Stanwood,2301,All
1994,Stanwood,2582,All
1995,Stanwood,2910,All
1996,Stanwood,3025,All
1997,Stanwood,3196,All
1998,Stanwood,3282,All
1999,Stanwood,3755,All
2000,Stanwood,3923,All
2001,Stanwood,4021,All
2002,Stanwood,4172,All
2003,Stanwood,4323,All
2004,Stanwood,4530,All
2005,Stanwood,4858,All
2006,Stanwood,5287,All
2007,Stanwood,5593,All
2008,Stanwood,5885,All
2009,Stanwood,6073,All
2010,Stanwood,6231,All
2011,Stanwood,6275,All
2012,Stanwood,6412,All
2013,Stanwood,6504,All
2014,Stanwood,6737,All
2015,Stanwood,6865,All
2016,Stanwood,6979,All
2017,Stanwood,7169,All
2018,Stanwood,7265,All
2019,Stanwood,7549,All
2020,Stanwood,7705,All
2021,Stanwood,7980,All
2022,Stanwood,8405,All
1990,Steilacoom,5728,All
1991,Steilacoom,5816,All
1992,Steilacoom,5896,All
1993,Steilacoom,5953,All
1994,Steilacoom,6037,All
1995,Steilacoom,6072,All
1996,Steilacoom,6051,All
1997,Steilacoom,6082,All
1998,Steilacoom,6085,All
1999,Steilacoom,6063,All
2000,Steilacoom,6049,All
2001,Steilacoom,6062,All
2002,Steilacoom,6047,All
2003,Steilacoom,6034,All
2004,Steilacoom,6040,All
2005,Steilacoom,6021,All
2006,Steilacoom,6015,All
2007,Steilacoom,6002,All
2008,Steilacoom,6005,All
2009,Steilacoom,6004,All
2010,Steilacoom,5985,All
2011,Steilacoom,6022,All
2012,Steilacoom,6058,All
2013,Steilacoom,6104,All
2014,Steilacoom,6146,All
2015,Steilacoom,6224,All
2016,Steilacoom,6293,All
2017,Steilacoom,6566,All
2018,Steilacoom,6602,All
2019,Steilacoom,6647,All
2020,Steilacoom,6727,All
2021,Steilacoom,6745,All
2022,Steilacoom,6790,All
1990,Sultan,2236,All
1991,Sultan,2241,All
1992,Sultan,2293,All
1993,Sultan,2407,All
1994,Sultan,2562,All
1995,Sultan,2568,All
1996,Sultan,2642,All
1997,Sultan,2831,All
1998,Sultan,2977,All
1999,Sultan,3067,All
2000,Sultan,3344,All
2001,Sultan,3826,All
2002,Sultan,3937,All
2003,Sultan,4084,All
2004,Sultan,4134,All
2005,Sultan,4236,All
2006,Sultan,4455,All
2007,Sultan,4564,All
2008,Sultan,4600,All
2009,Sultan,4624,All
2010,Sultan,4651,All
2011,Sultan,4629,All
2012,Sultan,4613,All
2013,Sultan,4585,All
2014,Sultan,4566,All
2015,Sultan,4555,All
2016,Sultan,4682,All
2017,Sultan,4809,All
2018,Sultan,4801,All
2019,Sultan,4881,All
2020,Sultan,5146,All
2021,Sultan,5370,All
2022,Sultan,6260,All
1990,Sumner,6459,All
1991,Sumner,7105,All
1992,Sumner,7431,All
1993,Sumner,7546,All
1994,Sumner,7610,All
1995,Sumner,7673,All
1996,Sumner,7825,All
1997,Sumner,8014,All
1998,Sumner,8096,All
1999,Sumner,8384,All
2000,Sumner,8504,All
2001,Sumner,8644,All
2002,Sumner,8809,All
2003,Sumner,8875,All
2004,Sumner,8976,All
2005,Sumner,9106,All
2006,Sumner,9261,All
2007,Sumner,9303,All
2008,Sumner,9365,All
2009,Sumner,9418,All
2010,Sumner,9451,All
2011,Sumner,9470,All
2012,Sumner,9503,All
2013,Sumner,9575,All
2014,Sumner,9617,All
2015,Sumner,9769,All
2016,Sumner,9838,All
2017,Sumner,10105,All
2018,Sumner,10221,All
2019,Sumner,10310,All
2020,Sumner,10621,All
2021,Sumner,10700,All
2022,Sumner,10800,All
1990,Tacoma,176664,All
1991,Tacoma,177755,All
1992,Tacoma,179647,All
1993,Tacoma,182043,All
1994,Tacoma,184119,All
1995,Tacoma,185896,All
1996,Tacoma,187573,All
1997,Tacoma,189083,All
1998,Tacoma,190544,All
1999,Tacoma,191963,All
2000,Tacoma,193556,All
2001,Tacoma,193752,All
2002,Tacoma,193506,All
2003,Tacoma,194266,All
2004,Tacoma,194317,All
2005,Tacoma,194910,All
2006,Tacoma,195740,All
2007,Tacoma,197405,All
2008,Tacoma,198021,All
2009,Tacoma,198155,All
2010,Tacoma,198397,All
2011,Tacoma,199327,All
2012,Tacoma,200388,All
2013,Tacoma,201692,All
2014,Tacoma,202688,All
2015,Tacoma,204543,All
2016,Tacoma,209654,All
2017,Tacoma,212575,All
2018,Tacoma,213946,All
2019,Tacoma,216556,All
2020,Tacoma,219346,All
2021,Tacoma,218700,All
2022,Tacoma,220800,All
1990,Tukwila,11874,All
1991,Tukwila,14974,All
1992,Tukwila,15195,All
1993,Tukwila,15372,All
1994,Tukwila,15554,All
1995,Tukwila,16003,All
1996,Tukwila,16186,All
1997,Tukwila,16416,All
1998,Tukwila,16672,All
1999,Tukwila,16905,All
2000,Tukwila,17181,All
2001,Tukwila,17321,All
2002,Tukwila,17487,All
2003,Tukwila,17477,All
2004,Tukwila,17575,All
2005,Tukwila,17560,All
2006,Tukwila,18486,All
2007,Tukwila,18655,All
2008,Tukwila,18814,All
2009,Tukwila,18939,All
2010,Tukwila,19107,All
2011,Tukwila,19091,All
2012,Tukwila,19168,All
2013,Tukwila,19294,All
2014,Tukwila,19384,All
2015,Tukwila,19516,All
2016,Tukwila,19803,All
2017,Tukwila,19961,All
2018,Tukwila,20159,All
2019,Tukwila,21292,All
2020,Tukwila,21798,All
2021,Tukwila,22000,All
2022,Tukwila,22620,All
1990,University Place,NA,All
1991,University Place,NA,All
1992,University Place,NA,All
1993,University Place,NA,All
1994,University Place,NA,All
1995,University Place,NA,All
1996,University Place,28281,All
1997,University Place,28623,All
1998,University Place,29030,All
1999,University Place,29253,All
2000,University Place,29933,All
2001,University Place,30137,All
2002,University Place,30316,All
2003,University Place,30579,All
2004,University Place,30616,All
2005,University Place,30780,All
2006,University Place,30892,All
2007,University Place,31001,All
2008,University Place,31102,All
2009,University Place,31143,All
2010,University Place,31144,All
2011,University Place,31316,All
2012,University Place,31567,All
